timestamp,buyVolume,sellVolume,buyOrders,sellOrders,buyOutliers,sellOutliers,TotalVolume,NetVolume,VolumeRatio,BuyVolumeShare,SellVolumeShare,VolumeImbalance,OrderCountRatio,AvgBuyOrderSize,AvgSellOrderSize,OrderSizeRatio,LiquidityIndex,OrderFlowPressure,MarketDepthProxy,VolumeChange,VROC,VMomentum,VolumeVolatility,CoeffVariation
2025-11-07T23:22:06.569184+00:00,16645564268,25949194634,1579,3553,117,31,42594758902,-9303630366,0.6414674714486169,0.3907890242153342,0.6092109757846658,-0.2184219515693316,0.44441317196735153,10541839.308423053,7303460.352941177,1.4434033730569578,8299836.107170694,-0.3846453624318005,8299836.107170694,-397950056.0,-0.009256221941928836,211714432.0,204104433.41355667,0.0047828891098368985
2025-11-08T01:23:27.976607+00:00,17644359032,25421663745,1623,3544,119,31,43066022777,-7777304713,0.694067831633181,0.4097048646299238,0.5902951353700762,-0.1805902707401524,0.4579571106094808,10871447.339494763,7173155.684255079,1.5155738726481782,8334821.516740856,-0.3717824656473776,8334821.516740856,471263875.0,0.011063893473003605,240640126.0,238173659.26585096,0.005577398384744291
2025-11-08T03:06:35.197168+00:00,17456418727,24770141793,1592,3499,119,31,42226560520,-7313723066,0.7047363262140531,0.41339901976463417,0.5866009802353659,-0.1732019604707317,0.4549871391826236,10965087.140075376,7079205.999714204,1.5489148275269924,8294354.845806325,-0.37458259673934396,8294354.845806325,-839462257.0,-0.019492449101854985,-766148438.0,272869719.87908334,0.0063994849345902615
2025-11-08T04:26:02.897030+00:00,17561985783,24875270663,1562,3465,119,31,42437256446,-7313284880,0.7060017967612335,0.41383414607273317,0.5861658539272668,-0.17233170785453372,0.4507936507936508,11243268.747119078,7179010.292352092,1.566130746336539,8441865.217028048,-0.3785557986870897,8441865.217028048,210695926.0,0.004989653985675838,-157502456.0,278947013.18836063,0.006546052234408736
2025-11-08T05:23:44.518226+00:00,17566156300,24889292622,1560,3474,119,31,42455448922,-7323136322,0.7057716170074285,0.41375504784492784,0.5862449521550721,-0.17248990431014433,0.44905008635578586,11260356.602564102,7164448.077720207,1.571699100951158,8433740.350019865,-0.3802145411203814,8433740.350019865,18192476.0,0.00042869114366875537,-610573855.0,283095711.997359,0.006645051735272155
2025-11-08T06:30:36.007259+00:00,17577716718,24865417111,1582,3462,119,30,42443133829,-7287700393,0.7069142109916163,0.4141474752740742,0.5858525247259257,-0.17170504945185158,0.4569612940496823,11111072.514538558,7182385.069612941,1.5469892531308314,8414578.47521808,-0.37272006344171293,8414578.47521808,-12315093.0,-0.00029007096409757756,216573309.0,276226546.292875,0.006482533548733228
2025-11-08T07:22:43.678185+00:00,17564109715,24483561984,1599,3442,119,30,42047671699,-6919452269,0.7173837583958633,0.41771896053444785,0.5822810394655522,-0.16456207893110433,0.4645554909936084,10984433.843026891,7113178.961069146,1.5442369583480684,8341137.016266614,-0.3656020630827217,8341137.016266614,-395462130.0,-0.009317458310059888,-389584747.0,326245237.18086696,0.0076678429011092075
2025-11-08T08:26:48.069492+00:00,17529484324,24428088901,1619,3462,121,30,41957573225,-6898604577,0.7175954040056898,0.41779071039206894,0.5822092896079311,-0.16441857921586217,0.46764875794338534,10827352.886967264,7056062.651935297,1.5344751628583682,8257739.268844715,-0.3627238732532966,8257739.268844715,-90098474.0,-0.0021427696316926575,-497875697.0,374244838.09304506,0.008804797176471849
2025-11-08T09:22:13.566649+00:00,17530281824,24824194221,1631,3465,121,31,42354476045,-7293912397,0.7061772747963064,0.41389443244144375,0.5861055675585563,-0.1722111351171125,0.4707070707070707,10748180.14960147,7164269.616450217,1.5002478584728398,8311317.90521978,-0.3598901098901099,8311317.90521978,396902820.0,0.009459622887901186,-88657784.0,358707859.82714444,0.00844862140595857
2025-11-08T10:22:22.726067+00:00,17514066647,24682594273,1631,3467,121,31,42196660920,-7168527626,0.7095715488123723,0.41505811751798677,0.5849418824820132,-0.16988376496402643,0.47043553504470725,10738238.287553648,7119294.569656764,1.5083289759242762,8277101.004315418,-0.3601412318556297,8277101.004315418,-157815125.0,-0.00372605541932162,148989221.0,312046726.5334774,0.007363420834043852
2025-11-08T11:19:37.986665+00:00,17480474635,25660890387,1563,3485,121,33,43141365022,-8180415752,0.681210759695842,0.4051905781396997,0.5948094218603003,-0.18961884372060053,0.448493543758967,11183924.910428664,7363239.709325681,1.518886434766481,8546229.204041205,-0.3807448494453249,8546229.204041205,944704102.0,0.022388124590972967,1183791797.0,391899943.04886484,0.009235818370533121
2025-11-08T12:39:15.462678+00:00,17471262233,25667932609,1510,3429,121,32,43139194842,-8196670376,0.680664956509743,0.4049974112170983,0.5950025887829017,-0.1900051775658034,0.44036162146398367,11570372.3397351,7485544.651210265,1.5456954542198074,8734398.631706823,-0.3885401903219275,8734398.631706823,-2170180.0,-5.030392522103354e-05,784718797.0,405487916.01690215,0.009554395504300407
2025-11-08T13:27:52.744151+00:00,17596181930,25402306396,1495,3421,121,32,42998488326,-7806124466,0.6927001688622574,0.4092279197489851,0.5907720802510149,-0.18154416050202984,0.4370067231803566,11770021.357859531,7425403.798889213,1.5851018579784497,8746641.237998372,-0.3917819365337673,8746641.237998372,-140706516.0,-0.0032616861885194294,801827406.0,432903795.15458596,0.010181868494824527
2025-11-08T14:21:45.716167+00:00,17547793328,25444035366,1479,3430,121,32,42991828694,-7896242038,0.6896623540874542,0.4081657808254385,0.5918342191745616,-0.18366843834912308,0.4311953352769679,11864633.757944558,7418086.112536443,1.5994197934550156,8757756.914646568,-0.39743328580158893,8757756.914646568,-6659632.0,-0.0001548806076508765,-149536328.0,456418265.5440647,0.010720943410674647
2025-11-08T15:22:59.215958+00:00,17659853444,25467526052,1512,3420,121,32,43127379496,-7807672608,0.6934263425486178,0.40948125414478115,0.5905187458552188,-0.18103749171043768,0.4421052631578947,11679797.251322752,7446645.044444445,1.5684643462409213,8744399.735604217,-0.38686131386861317,8744399.735604217,135550802.0,0.0031529433875632663,-11815346.0,485773934.5681107,0.01139250639556494
2025-11-08T16:26:41.510223+00:00,17623589861,25312289922,1522,3447,121,33,42935879783,-7688700061,0.6962463655128484,0.4104629962183253,0.5895370037816746,-0.17907400756334935,0.44154337104728747,11579231.183311433,7343281.091383812,1.5768470577679292,8640748.597907024,-0.38740189172871803,8640748.597907024,-191499713.0,-0.00444032805233996,-62608543.0,488593798.1910621,0.011445412290266565
2025-11-08T17:21:05.298431+00:00,17506567222,25446786089,1521,3469,121,32,42953353311,-7940218867,0.6879677127308287,0.4075716066972753,0.5924283933027247,-0.18485678660544938,0.43845488613433264,11509906.12886259,7335481.720668781,1.5690729753210024,8607886.43507014,-0.39038076152304607,8607886.43507014,17473528.0,0.0004069679738324229,-38475383.0,437794475.3451273,0.010233715860238593
2025-11-08T18:28:54.107472+00:00,17473653556,25039927258,1492,3457,123,32,42513580814,-7566273702,0.6978316420794453,0.41101345079466495,0.5889865492053351,-0.17797309841067013,0.43158808215215505,11711564.045576407,7243253.473531964,1.6168927524588752,8590337.606385129,-0.3970499090725399,8590337.606385129,-439772497.0,-0.010238374029051136,-613798682.0,347862930.45221436,0.00812095571266087
2025-11-08T19:19:02.213140+00:00,16808614860,25401686279,1514,3546,102,32,42210301139,-8593071419,0.6617125601577075,0.3982112045267965,0.6017887954732035,-0.203577590946407,0.4269599548787366,11102123.421400264,7163476.1080090245,1.5498234731302711,8341956.746837945,-0.4015810276679842,8341956.746837945,-303279675.0,-0.0071337127852596225,-725578644.0,372142142.31748486,0.008690685699606824
2025-11-08T20:24:39.480116+00:00,16872879836,25216332910,1540,3551,100,32,42089212746,-8343453074,0.6691250427340587,0.4008837118865697,0.5991162881134303,-0.19823257622686066,0.43368065333708816,10956415.477922078,7101192.033230076,1.5428980693173004,8267376.300530348,-0.3950108033785111,8267376.300530348,-121088393.0,-0.0028686929430153003,-864140565.0,393124869.8915832,0.009183002416383465
2025-11-08T21:20:13.247869+00:00,16757049382,25684591006,1538,3597,100,32,42441640388,-8927541624,0.6524164382483452,0.3948256765951466,0.6051743234048534,-0.2103486468097068,0.4275785376702808,10895350.703511054,7140559.078676675,1.5258400054481778,8265168.527361247,-0.40097370983446934,8265168.527361247,352427642.0,0.008373348395153659,-71940426.0,389861911.6784659,0.009121692270319155
2025-11-08T22:20:26.963113+00:00,16655979054,25524240608,1519,3600,100,32,42180219662,-8868261554,0.6525553222053375,0.39487653661996713,0.6051234633800329,-0.21024692676006576,0.42194444444444446,10965094.83475971,7090066.835555555,1.5465432257664353,8239933.514748975,-0.4065247118577847,8239933.514748975,-261420726.0,-0.006159533976776129,-30081477.0,398626783.436747,0.009347739939662286
2025-11-08T23:20:36.493493+00:00,16673320970,24813702420,1541,3612,100,32,41487023390,-8140381450,0.6719400711665341,0.40189243786573814,0.5981075621342619,-0.19621512426852372,0.4266334440753045,10819805.950681375,6869795.797342192,1.5749821784902798,8051042.769260624,-0.4019018047739181,8051042.769260624,-693196272.0,-0.016434155098165548,-602189356.0,518028283.04493046,0.012190896658995257
2025-11-09T01:33:59.712850+00:00,16380197477,24304710952,1498,3596,100,33,40684908429,-7924513475,0.6739515441821001,0.4026111427923057,0.5973888572076943,-0.19477771441538863,0.41657397107897665,10934711.26635514,6758818.395995551,1.6178436267548943,7986829.295053003,-0.41185708676874755,7986829.295053003,-802114961.0,-0.019334116922771115,-1756731959.0,738132040.7059635,0.01746547558705459
2025-11-09T03:17:41.510489+00:00,16713577692,24146720536,1506,3554,100,33,40860298228,-7433142844,0.6921676037572873,0.4090419898244116,0.5909580101755884,-0.18191602035117677,0.42374788970174454,11097993.155378487,6794237.629713,1.6334420078043819,8075157.75256917,-0.40474308300395256,8075157.75256917,175389799.0,0.004310930164831907,-1319921434.0,789307516.3796712,0.01877710159253996
2025-11-09T04:26:09.812831+00:00,16685633394,24147082037,1510,3556,100,33,40832715431,-7461448643,0.6909999878425476,0.40863394015996174,0.5913660598400383,-0.18273211968007655,0.4246344206974128,11050088.34039735,6790518.00815523,1.6272820905749001,8060149.117844453,-0.4038689301223845,8060149.117844453,-27582797.0,-0.0006750512893001491,-654307959.0,802865046.5329152,0.01919566769036434
2025-11-09T05:23:03.310807+00:00,16558278495,24086421630,1508,3575,100,33,40644700125,-7528143135,0.6874528209028947,0.40739083925028713,0.5926091607497129,-0.18521832149942574,0.4218181818181818,10980290.77917772,6737460.595804196,1.6297372909335868,7996203.054298642,-0.40664961636828645,7996203.054298642,-188015306.0,-0.004604526150549852,-40208304.0,773862710.4647182,0.01860494666380629
2025-11-09T06:31:41.041121+00:00,16514375024,23605811190,1513,3575,101,33,40120186214,-7091436166,0.6995893888618364,0.4116225915780342,0.5883774084219658,-0.1767548168439316,0.42321678321678324,10914986.79709187,6603024.109090909,1.6530284634375843,7885256.724449686,-0.40526729559748426,7885256.724449686,-524513911.0,-0.012904853754287602,-740112014.0,826346576.1042583,0.019981723293531033
2025-11-09T07:22:35.394641+00:00,16358744201,23272456078,1532,3590,101,33,39631200279,-6913711877,0.7029229809768255,0.4127743819474542,0.5872256180525458,-0.17445123610509158,0.42674094707520893,10678031.462793734,6482578.294707521,1.6471889697825088,7737446.364506052,-0.4017961733697774,7737446.364506052,-488985935.0,-0.012188027552807509,-1201515152.0,926224669.2230949,0.02253740967325505
2025-11-09T08:27:06.494734+00:00,16323172693,23360782108,1545,3577,101,33,39683954801,-7037609415,0.6987425599680611,0.41132928345611036,0.5886707165438897,-0.1773414330877793,0.4319261951355885,10565160.319093851,6530830.89404529,1.617736011006961,7747745.958805154,-0.39672003123779775,7747745.958805154,52754522.0,0.0013311361157020989,-960745324.0,951941047.7447146,0.023299517688673405
2025-11-09T09:22:01.241907+00:00,16299549718,23368751135,1537,3591,101,34,39668300853,-7069201417,0.6974934015017915,0.41089609001408267,0.5891039099859173,-0.17820781997183469,0.42801448064605957,10604781.859466493,6507588.7315511,1.629602345343483,7735628.091458659,-0.4005460218408736,7735628.091458659,-15653948.0,-0.0003944654225744037,-451885361.0,835780155.3892286,0.02059619338711266
2025-11-09T10:22:28.313117+00:00,16159675757,23133304043,1546,3547,102,34,39292979800,-6973628286,0.6985459460076487,0.4112611423020659,0.5887388576979341,-0.17747771539586824,0.43586129123202705,10452571.641009055,6521935.168593178,1.6026794763836545,7715095.1894757515,-0.39289220498723737,7715095.1894757515,-375321053.0,-0.009461485491673525,-338220479.0,710642096.8227956,0.01763790127029002
2025-11-09T11:18:45.180098+00:00,16306689024,23048887428,1520,3554,102,35,39355576452,-6742198404,0.7074826962879989,0.41434252764378743,0.5856574723562126,-0.17131494471242512,0.4276871131119865,10728084.884210527,6485336.924029263,1.6542062517154923,7756321.72881356,-0.4008671659440284,7756321.72881356,62596652.0,0.0015930746998220786,-328378349.0,626609683.928828,0.015634956382039388
2025-11-09T12:41:20.553733+00:00,16518422501,23235034771,1552,3478,102,34,39753457272,-6716612270,0.7109273846070114,0.41552165860639767,0.5844783413936023,-0.16895668278720472,0.44623346751006326,10643313.467139175,6680573.539677976,1.5931736106077228,7903271.823459244,-0.38290258449304176,7903271.823459244,397880820.0,0.01010989689060393,85156419.0,594700896.7979186,0.014873346470857224
2025-11-09T13:29:35.248706+00:00,16478112004,22618206723,1537,3472,99,33,39096318727,-6140094719,0.7285330886662973,0.4214747715523452,0.5785252284476549,-0.15705045689530964,0.44268433179723504,10720957.712426806,6514460.461693549,1.645716905562384,7805214.359552805,-0.3863046516270713,7805214.359552805,-657138545.0,-0.016530349561894576,-196661073.0,566973272.917432,0.014242718593970626
