weekday,month_day,year_day,hour,buyVolume,sellVolume,buyOrders,sellOrders,buyOutliers,sellOutliers
Saturday,8,312,7,17564109715.0,24483561984.0,1599.0,3442.0,119.0,30.0
Saturday,8,312,8,17529484324.0,24428088901.0,1619.0,3462.0,121.0,30.0
Saturday,8,312,9,17530281824.0,24824194221.0,1631.0,3465.0,121.0,31.0
Saturday,8,312,10,17514066647.0,24682594273.0,1631.0,3467.0,121.0,31.0
Saturday,8,312,11,17480474635.0,25660890387.0,1563.0,3485.0,121.0,33.0
Saturday,8,312,12,17471262233.0,25667932609.0,1510.0,3429.0,121.0,32.0
Saturday,8,312,13,17596181930.0,25402306396.0,1495.0,3421.0,121.0,32.0
Saturday,8,312,14,17547793328.0,25444035366.0,1479.0,3430.0,121.0,32.0
Saturday,8,312,15,17659853444.0,25467526052.0,1512.0,3420.0,121.0,32.0
Saturday,8,312,16,17623589861.0,25312289922.0,1522.0,3447.0,121.0,33.0
Saturday,8,312,17,17506567222.0,25446786089.0,1521.0,3469.0,121.0,32.0
Saturday,8,312,18,17473653556.0,25039927258.0,1492.0,3457.0,123.0,32.0
Saturday,8,312,19,16808614860.0,25401686279.0,1514.0,3546.0,102.0,32.0
Saturday,8,312,20,16872879836.0,25216332910.0,1540.0,3551.0,100.0,32.0
Saturday,8,312,21,16757049382.0,25684591006.0,1538.0,3597.0,100.0,32.0
Saturday,8,312,22,16655979054.0,25524240608.0,1519.0,3600.0,100.0,32.0
Saturday,8,312,23,16673320970.0,24813702420.0,1541.0,3612.0,100.0,32.0
Sunday,9,313,1,16380197477.0,24304710952.0,1498.0,3596.0,100.0,33.0
Sunday,9,313,3,16713577692.0,24146720536.0,1506.0,3554.0,100.0,33.0
Sunday,9,313,4,16685633394.0,24147082037.0,1510.0,3556.0,100.0,33.0
Sunday,9,313,5,16558278495.0,24086421630.0,1508.0,3575.0,100.0,33.0
Sunday,9,313,6,16514375024.0,23605811190.0,1513.0,3575.0,101.0,33.0
Sunday,9,313,7,16358744201.0,23272456078.0,1532.0,3590.0,101.0,33.0
Sunday,9,313,8,16323172693.0,23360782108.0,1545.0,3577.0,101.0,33.0
Sunday,9,313,9,16299549718.0,23368751135.0,1537.0,3591.0,101.0,34.0
Sunday,9,313,10,16159675757.0,23133304043.0,1546.0,3547.0,102.0,34.0
Sunday,9,313,11,16306689024.0,23048887428.0,1520.0,3554.0,102.0,35.0
Sunday,9,313,12,16518422501.0,23235034771.0,1552.0,3478.0,102.0,34.0
Sunday,9,313,13,16478112004.0,22618206723.0,1537.0,3472.0,99.0,33.0
Sunday,9,313,14,16411452498.0,22742371911.0,1536.0,3507.0,102.0,33.0
Sunday,9,313,15,17143820010.0,21507151210.0,1584.0,3489.0,104.0,33.0
Sunday,9,313,16,17479691977.0,21221378521.0,1656.0,3427.0,102.0,33.0
Sunday,9,313,17,17417491417.0,20807488540.0,1590.0,3459.0,101.0,32.0
Sunday,9,313,18,18515710410.0,21072509901.0,1589.0,3451.0,101.0,32.0
Sunday,9,313,19,18533801134.0,21017572216.0,1622.0,3457.0,101.0,32.0
Sunday,9,313,20,18534037683.0,20907301653.0,1620.0,3478.0,101.0,33.0
Sunday,9,313,21,18200267297.0,21049491179.0,1616.0,3528.0,105.0,33.0
Sunday,9,313,22,18160126241.0,20910386791.0,1622.0,3508.0,103.0,33.0
Sunday,9,313,23,18133352911.0,20801704577.0,1661.0,3512.0,103.0,33.0
Thursday,6,310,0,17079592922.5,26865505473.5,1611.0,3343.5,121.0,26.0
Thursday,6,310,1,17039262651.0,26883758716.0,1613.0,3367.0,121.0,26.0
Thursday,6,310,3,16928588927.0,26910759424.0,1568.0,3367.0,121.0,26.0
Thursday,6,310,4,17002721010.0,26500529036.0,1558.0,3363.0,121.0,26.0
Thursday,6,310,5,16903603020.0,26474881628.0,1570.0,3341.0,121.0,25.0
Thursday,6,310,6,16719704932.0,25994168434.0,1541.0,3350.0,121.0,25.0
Thursday,6,310,7,16736637436.0,25969760922.0,1550.0,3368.0,121.0,26.0
Thursday,6,310,8,16711500803.0,25723871068.0,1548.0,3365.0,122.0,26.0
Thursday,6,310,9,16866828977.0,24749698904.0,1565.0,3344.0,122.0,26.0
Thursday,6,310,10,16613375526.0,24841004825.0,1512.0,3354.0,122.0,26.0
Thursday,6,310,12,17203442177.0,24517121097.0,1518.5,3377.5,122.0,25.0
Thursday,6,310,13,17270788348.0,24697935359.0,1525.0,3385.0,122.0,25.0
Thursday,6,310,14,17135329105.0,25366779731.0,1519.0,3410.0,122.0,26.0
Thursday,6,310,15,17444202190.0,25237063585.0,1529.0,3413.0,122.0,26.0
Thursday,6,310,16,17379524555.0,25889297949.0,1563.0,3418.0,124.0,26.0
Thursday,6,310,17,17333275403.0,25695668476.0,1570.0,3466.0,124.0,27.0
Thursday,6,310,18,17335833342.0,25698476282.0,1553.0,3465.0,124.0,27.0
Thursday,6,310,19,17308229599.0,25723066300.0,1548.0,3469.0,121.0,27.0
Thursday,6,310,20,17294393585.0,25491436525.0,1559.0,3481.0,119.0,27.0
Thursday,6,310,21,17295400370.0,25928459492.0,1577.0,3467.0,119.0,26.0
Thursday,6,310,22,17311786495.0,25530152047.0,1574.0,3449.0,119.0,26.0
Thursday,6,310,23,17291210095.0,25425897922.0,1597.0,3439.0,119.0,26.0
Tuesday,11,315,1,17024801970.0,22273407785.0,1538.0,3526.0,99.0,34.0
Tuesday,11,315,3,16719665077.0,23486111046.0,1548.0,3543.0,99.0,34.0
Tuesday,11,315,4,16640491309.0,23398698407.0,1554.0,3545.0,99.0,34.0
Tuesday,11,315,5,16633581297.0,24284771451.0,1554.0,3557.0,99.0,34.0
Tuesday,11,315,6,16638091124.0,24169847658.0,1552.0,3568.0,101.0,34.0
Tuesday,11,315,7,16746839316.0,24349681942.0,1556.0,3561.0,100.0,34.0
Tuesday,11,315,8,16660036572.0,25597208978.0,1559.0,3586.0,100.0,34.0
Tuesday,11,315,9,16313596400.0,25691145957.0,1558.0,3588.0,104.0,34.0
Tuesday,11,315,10,16595477740.0,25629188870.0,1573.0,3589.0,100.0,34.0
Tuesday,11,315,11,16570450011.0,25599331287.0,1590.0,3610.0,100.0,34.0
Tuesday,11,315,12,16684959007.0,25617546739.0,1617.0,3648.0,100.0,34.0
Tuesday,11,315,13,16671103974.0,25456109002.0,1619.0,3637.0,100.0,35.0
Tuesday,11,315,14,16557115658.0,25401272950.0,1617.0,3639.0,100.0,35.0
Tuesday,11,315,15,16427568607.0,25393821323.0,1641.0,3663.0,100.0,35.0
Tuesday,11,315,16,16415941880.0,25113714692.0,1651.0,3661.0,100.0,35.0
Tuesday,11,315,17,16239738087.0,25138362453.0,1646.0,3667.0,104.0,35.0
Tuesday,11,315,18,15939855783.0,25662891531.0,1652.0,3690.0,110.0,34.0
Tuesday,11,315,19,15868951172.0,25652731619.0,1616.0,3709.0,107.0,36.0
Tuesday,11,315,20,15618946698.0,25787811482.0,1621.0,3677.0,107.0,34.0
Tuesday,11,315,21,16100047247.0,25844758081.0,1564.0,3716.0,107.0,34.0
Tuesday,11,315,22,15904422458.0,25512772228.0,1556.0,3707.0,107.0,34.0
Tuesday,11,315,23,15827282275.0,24624511967.0,1530.0,3640.0,107.0,34.0
Wednesday,5,309,13,17507342282.0,27151234692.5,1507.0,3507.5,105.0,23.0
Wednesday,5,309,14,17479049096.0,26930522611.0,1503.0,3506.0,108.0,23.0
Wednesday,5,309,15,17597059034.0,26973787545.0,1527.0,3489.0,108.0,24.0
Wednesday,5,309,16,17560331009.0,26929996384.0,1564.0,3496.0,109.0,24.0
Wednesday,5,309,17,17545948827.0,26695537574.0,1561.0,3485.0,108.0,24.0
Wednesday,5,309,18,17322151162.0,27083151684.0,1588.0,3507.0,108.0,24.0
Wednesday,5,309,19,17406435472.0,27147021741.0,1588.0,3500.0,108.0,25.0
Wednesday,5,309,20,17102924105.0,25828122057.0,1612.0,3265.0,110.0,26.0
Wednesday,5,309,21,17069221212.0,26453746584.0,1613.0,3291.0,116.0,26.0
Wednesday,5,309,22,17086209711.0,27064260400.0,1600.0,3342.0,123.0,26.0
Wednesday,5,309,23,17480035483.0,26944630514.0,1595.0,3331.0,121.0,26.0
Wednesday,12,316,1,15698245155.0,24064497493.0,1535.0,3665.0,107.0,34.0
Wednesday,12,316,3,14963198368.0,24457834019.0,1527.0,3677.0,107.0,35.0
Wednesday,12,316,4,14634579744.0,24141836211.0,1487.0,3715.0,107.0,35.0
Wednesday,12,316,5,14632184937.0,24278168509.0,1484.0,3725.0,107.0,35.0
Wednesday,12,316,6,14539763022.0,24279990336.0,1495.0,3727.0,107.0,35.0
Wednesday,12,316,7,14513232154.0,24618559197.0,1512.0,3721.0,107.0,35.0
Wednesday,12,316,8,14495844455.0,24882739709.0,1496.0,3734.0,107.0,35.0
Wednesday,12,316,9,14503215002.0,24863554947.0,1501.0,3745.0,114.0,35.0
Wednesday,12,316,10,14531731224.0,24551005576.0,1518.0,3747.0,114.0,35.0
Wednesday,12,316,11,14528055505.0,24535339605.0,1522.0,3736.0,114.0,35.0
